Run,Iteration,Wavelengths,Cofficients
280,1,451.403,0.007383612645474477
280,1,454.895,-0.0033208161776613083
280,1,455.892,0.0012069262481137204
280,1,460.372,-0.0014302354801148506
280,1,460.869,0.000803541083537455
280,1,461.863,-0.003938381689805472
280,1,465.339,-0.00841135866304108
280,1,466.331,0.011886579411816691
280,1,466.827,0.0022518658853682657
280,1,469.305,-0.001059136861795871
280,1,469.8,-0.006150968984051083
280,1,472.769,-0.006923112841718261
280,1,473.758,-0.01359726066225028
280,1,474.252,-0.0018028713117481338
280,1,475.24,-0.0058127190648948595
280,1,475.734,-0.011529725931363477
280,1,477.215,-0.012853662213041177
280,1,478.202,-0.009907638585635937
280,1,479.188,-0.008133266997890649
280,1,479.681,-0.00031105192933649737
280,1,480.667,-0.005273437129901996
280,1,481.159,0.002597266895829743
280,1,485.588,-0.01288901372966016
280,1,486.08,-0.0008616795679416949
280,1,487.063,-0.025025936885660623
280,1,487.554,-0.002215875517998328
280,1,489.027,-0.023729094790778903
280,1,489.518,-0.008224741610400427
280,1,490.989,-0.02169949586685179
280,1,491.48,-0.01653591514479335
280,1,491.97,-0.03262401419533971
280,1,493.93,-0.005001973149059186
280,1,494.909,-0.0054170751062524855
280,1,495.398,-0.013411691278892001
280,1,495.888,-0.010514485534300599
280,1,496.377,0.010354093816627948
280,1,496.866,-0.011752689970121407
280,1,497.844,-0.02888167096154972
280,1,498.821,-0.054818454911376505
280,1,499.31,-0.0869962563586994
280,1,499.798,-0.021698318587753035
280,1,500.287,-0.0666828616004867
280,1,501.263,-0.05128356512973227
280,1,501.751,-0.06612999169410488
280,1,502.239,-0.030375019001190544
280,1,502.727,-0.07855293663457787
280,1,503.215,-0.06149371352747683
280,1,503.702,-0.0167513373551478
280,1,504.19,-0.1423188449054248
280,1,504.677,-0.006148172128051283
280,1,505.651,-0.03453857681748783
280,1,506.139,-0.06388779776637406
280,1,506.625,-0.0033885980648556153
280,1,507.112,-0.03141742105407722
280,1,507.599,-0.009195679422033478
280,1,508.086,-0.0360060358936801
280,1,508.572,0.01571038468735843
280,1,509.545,-0.05218968713087444
280,1,510.031,-0.010934088711674774
280,1,511.003,-0.026767583343971845
280,1,511.489,-0.008102955383822818
280,1,512.946,-0.015656215196770226
280,1,513.916,-0.005282282169869412
280,1,514.401,-0.010063065376954948
280,1,514.887,-0.01027368765352283
280,1,515.371,-0.008294081741293643
280,1,515.856,-0.005128877099582979
280,1,517.31,-0.013392738937825062
280,1,517.795,-0.009746041914179234
280,1,518.763,-0.006553986149066527
280,1,521.182,-0.008023776045501724
280,1,521.666,-0.006458835059897572
280,1,522.633,-0.0075286513719187275
280,1,523.116,-0.005146426854718976
280,1,525.048,-0.007175581109623709
280,1,526.978,-0.010173922240341264
280,1,527.46,-0.006277800604849186
280,1,527.942,-0.012032315408955406
280,1,528.906,-0.01146747953044564
280,1,530.833,-0.0074862422535423995
280,1,531.795,-0.01298016734405565
280,1,533.238,-0.011365033368347065
280,1,534.2,-0.013121522841057534
280,1,535.161,-0.009451713237040603
280,1,535.642,-0.0022227285283345
280,1,536.122,-0.013318875957665115
280,1,537.082,-0.0061456478224928696
280,1,538.522,-0.005700004536711836
280,1,539.481,-0.0056828343278479375
280,1,540.919,-0.007297875007193998
280,1,541.398,-0.0076708683894567194
280,1,542.356,-0.010114719885923123
280,1,544.27,-0.007861166083289238
280,1,545.227,-0.004207820912473719
280,1,545.705,-0.004402654608782943
