Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
88,1,1.0,543,543 wavelengths,0.9932885906040269,4.0,True
88,2,0.937972055474286,391,391 wavelengths,0.9932885906040269,4.0,True
88,3,0.879791576850657,312,312 wavelengths,0.9932885906040269,4.0,True
88,4,0.825219913727574,273,273 wavelengths,0.9932885906040269,4.0,True
88,5,0.7740332186973654,247,247 wavelengths,0.9932885906040269,4.0,True
88,6,0.7260215291469454,224,224 wavelengths,0.9932885906040269,4.0,True
88,7,0.6809879060125446,206,206 wavelengths,0.9932885906040269,4.0,True
88,8,0.6387476259557163,193,193 wavelengths,0.9932885906040269,4.0,True
88,9,0.5991274236470037,182,182 wavelengths,0.9865771812080537,4.0,True
88,10,0.5619647810491933,173,173 wavelengths,0.9865771812080537,4.0,True
88,11,0.5271072607848689,163,163 wavelengths,0.9865771812080537,4.0,True
88,12,0.49441188085380394,149,149 wavelengths,0.9865771812080537,4.0,True
88,13,0.4637445281353502,138,138 wavelengths,0.9865771812080537,4.0,True
88,14,0.4349794082700673,131,131 wavelengths,0.9865771812080537,4.0,True
88,15,0.4079985296640637,127,127 wavelengths,0.9865771812080537,4.0,True
88,16,0.38269121949948826,120,120 wavelengths,0.9865771812080537,4.0,True
88,17,0.35895366976589616,112,112 wavelengths,0.9865771812080537,4.0,True
88,18,0.33668851145035567,102,102 wavelengths,0.9865771812080537,4.0,True
88,19,0.3158044151396677,93,93 wavelengths,0.9865771812080537,4.0,True
88,20,0.2962157163964089,88,88 wavelengths,0.9865771812080537,4.0,True
88,21,0.2778420643721278,79,79 wavelengths,0.9865771812080537,4.0,True
88,22,0.2606080922163436,78,78 wavelengths,0.9865771812080537,4.0,True
88,23,0.24444310792939605,75,75 wavelengths,0.9865771812080537,4.0,True
88,24,0.22928080439105833,71,71 wavelengths,0.9865771812080537,4.0,True
88,25,0.2150589873754787,69,69 wavelengths,0.9865771812080537,4.0,True
88,26,0.20171932043679625,66,66 wavelengths,0.9865771812080537,4.0,True
