Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
435,1,1.0,564,564 wavelengths,0.9932885906040269,4.0,True
435,2,0.937972055474286,394,394 wavelengths,0.9932885906040269,4.0,True
435,3,0.879791576850657,317,317 wavelengths,0.9932885906040269,4.0,True
435,4,0.825219913727574,278,278 wavelengths,0.9932885906040269,4.0,True
435,5,0.7740332186973654,249,249 wavelengths,0.9932885906040269,4.0,True
435,6,0.7260215291469454,230,230 wavelengths,0.9932885906040269,4.0,True
435,7,0.6809879060125446,206,206 wavelengths,0.9932885906040269,4.0,True
435,8,0.6387476259557163,189,189 wavelengths,0.9865771812080537,4.0,True
435,9,0.5991274236470037,173,173 wavelengths,0.9865771812080537,4.0,True
435,10,0.5619647810491933,163,163 wavelengths,0.9865771812080537,4.0,True
435,11,0.5271072607848689,154,154 wavelengths,0.9865771812080537,4.0,True
435,12,0.49441188085380394,142,142 wavelengths,0.9798657718120806,4.0,True
435,13,0.4637445281353502,132,132 wavelengths,0.9798657718120806,4.0,True
435,14,0.4349794082700673,122,122 wavelengths,0.9865771812080537,4.0,True
435,15,0.4079985296640637,118,118 wavelengths,0.9865771812080537,4.0,True
435,16,0.38269121949948826,111,111 wavelengths,0.9865771812080537,4.0,True
435,17,0.35895366976589616,108,108 wavelengths,0.9798657718120806,4.0,True
435,18,0.33668851145035567,103,103 wavelengths,0.9798657718120806,4.0,True
435,19,0.3158044151396677,96,96 wavelengths,0.9798657718120806,4.0,True
435,20,0.2962157163964089,91,91 wavelengths,0.9731543624161074,4.0,True
435,21,0.2778420643721278,88,88 wavelengths,0.9731543624161074,4.0,True
435,22,0.2606080922163436,84,84 wavelengths,0.9731543624161074,4.0,True
435,23,0.24444310792939605,80,80 wavelengths,0.9731543624161074,4.0,True
435,24,0.22928080439105833,71,71 wavelengths,0.9865771812080537,4.0,True
435,25,0.2150589873754787,65,65 wavelengths,0.9731543624161074,4.0,True
435,26,0.20171932043679625,62,62 wavelengths,0.9731543624161074,4.0,True
435,27,0.18920708561897795,59,59 wavelengths,0.9731543624161074,4.0,True
435,28,0.17747095900833193,53,53 wavelengths,0.9731543624161074,4.0,True
435,29,0.1664628002080379,48,48 wavelengths,0.9731543624161074,4.0,True
435,30,0.15613745487113867,46,46 wavelengths,0.9798657718120806,4.0,True
435,31,0.14645256948200552,44,44 wavelengths,0.9731543624161074,4.0,True
435,32,0.13736841762652738,42,42 wavelengths,0.9731543624161074,4.0,True
435,33,0.12884773703840405,40,40 wavelengths,0.9731543624161074,4.0,True
435,34,0.12085557675312208,39,39 wavelengths,0.9731543624161074,4.0,True
435,35,0.11335915374265627,36,36 wavelengths,0.9731543624161074,4.0,True
435,36,0.10632771844282492,33,33 wavelengths,0.9463087248322147,4.0,True
435,37,0.09973242862170764,31,31 wavelengths,0.9463087248322147,4.0,True
435,38,0.09354623107174559,31,31 wavelengths,0.9463087248322147,4.0,True
435,39,0.08774375064023773,30,30 wavelengths,0.9463087248322147,4.0,True
435,40,0.082301186143047,27,27 wavelengths,0.9463087248322147,4.0,True
435,41,0.07719621273456559,25,25 wavelengths,0.9395973154362416,4.0,True
435,42,0.07240789033347075,23,23 wavelengths,0.9328859060402684,4.0,True
435,43,0.06791657772864225,23,23 wavelengths,0.9328859060402684,4.0,True
435,44,0.06370385201291369,22,22 wavelengths,0.9328859060402684,4.0,True
435,45,0.059752433014182364,20,20 wavelengths,0.9328859060402684,4.0,True
435,46,0.05604611241390222,17,17 wavelengths,0.912751677852349,4.0,True
435,47,0.05256968726221077,16,16 wavelengths,0.8993288590604027,4.0,True
435,48,0.04930889761697621,15,15 wavelengths,0.912751677852349,4.0,True
435,49,0.0462503680509663,15,15 wavelengths,0.912751677852349,4.0,True
435,50,0.043381552787207116,15,15 wavelengths,0.912751677852349,4.0,True
435,51,0.0406906842374829,15,15 wavelengths,0.912751677852349,4.0,True
435,52,0.03816672473288696,14,14 wavelengths,0.912751677852349,4.0,True
435,53,0.03579932124842725,13,13 wavelengths,0.9194630872483222,4.0,True
