PC1 - 83.80%,PC2 - 8.60%,PC3 - 3.20%,Class,Date,Position,Acquisition,N
2.636520144138214,-0.32375659067553925,-0.6506445522622155,Healty,24-01-29,A2,1,1
4.538180510808723,0.003546268568153978,-0.3416996723318605,Healty,24-01-29,A2,1,2
3.6295592436089876,0.20142530556637134,0.11479016825570106,Healty,24-01-29,A2,1,4
-1.5432968025442884,-0.34294576305828745,-1.4765593448160372,Healty,24-01-29,A2,1,6
2.754357562734075,-0.1425853241657528,-0.620825437088586,Healty,24-01-29,A2,1,7
2.131092450987242,-0.3188084775321415,-0.8419269640184447,Healty,24-01-29,A2,1,8
3.532240374400115,0.03962661372653223,-0.6198104287774738,Healty,24-01-29,A6,1,0
1.8343761313001519,-0.2785251027571606,-0.11458286533860267,Healty,24-01-29,A6,1,1
-1.6507113329256327,-1.2148630889642118,-0.6704313030763506,Healty,24-01-29,A6,1,2
2.5305580389151734,-0.27909794160507045,-0.06739813773623678,Healty,24-01-29,A6,1,3
-0.4690119126808847,-0.4900987793137752,-0.8830675319273215,Healty,24-01-29,A6,1,4
0.04845718059013153,-0.4996106902484937,-0.2734040093603519,Healty,24-01-29,A6,1,6
-0.9970667225876644,-1.1614040974060678,-0.13390792995451514,Healty,24-01-29,A6,1,7
1.5316716682297318,-0.36496470010575266,-0.091402051483335,Healty,24-01-29,A6,1,9
1.4331140065178838,-0.06785290828428586,-0.38140929931614864,Healty,24-01-29,B1,1,10
1.7426573294004797,0.3516478844479335,-0.5952860974618249,Healty,24-01-29,B1,1,11
1.3808696219285883,-0.14955157036054803,-0.23299091194919005,Healty,24-01-29,B1,1,13
1.3392404316531505,-0.22489607576728984,0.15173655983615036,Healty,24-01-29,B1,1,14
2.456992493324143,0.226654099493276,-0.12542202301821068,Healty,24-01-29,B1,1,16
1.0496162254374348,0.025691257211197766,-0.2024537788746646,Healty,24-01-29,B1,1,17
-7.029352075403537,-2.0938960400489774,0.013011898527223382,Healty,24-01-29,B5,1,0
-6.175699778883857,-2.174145183641809,1.3772175247362661,Healty,24-01-29,B5,1,1
-7.261332925940664,-0.012180237744262879,-0.44470724424860775,Healty,24-01-29,B5,1,4
-3.562928299804855,0.07333976926843992,-0.11863151365106397,Healty,24-01-29,C2,1,1
-5.926949729644321,-1.1729885053826992,0.03449693394240983,Healty,24-01-29,C2,1,2
-7.769164130942544,-2.1314437955062817,0.12605376044035385,Healty,24-01-29,C2,1,3
0.3409477207556201,1.2228783995569397,0.6717508411384101,Healty,24-01-29,C2,1,4
-6.8384882304146855,-2.9860473660503857,1.1708972895806344,Healty,24-01-29,C2,1,5
-4.538985556053909,-0.5430181718860498,0.2918294886784877,Healty,24-01-29,C2,1,7
-3.3907187692417575,-0.0733811498562863,0.016872800329501426,Healty,24-01-29,C2,1,8
-3.7694521833854884,0.5346841657084225,-0.2874589073351681,Healty,24-01-29,C4,1,0
-5.858591445443519,-0.8523880675323595,0.27670046273826887,Healty,24-01-29,C4,1,1
-6.33619449129744,-1.184052697683774,0.31185539596618433,Healty,24-01-29,C4,1,4
-3.9905550789445834,-0.35462219998887046,0.04306290310422549,Healty,24-01-29,C4,1,5
-3.5807577341550565,0.3978644226713274,-0.1630041831094148,Healty,24-01-29,C4,1,6
-6.166267884305271,-0.7887953998675086,0.018871045277140452,Healty,24-01-29,C4,1,7
-4.166961602701762,-0.35528810578662756,-0.07866759265057105,Healty,24-01-29,C4,1,8
-5.158037986962429,-0.11618228648234595,-0.35414460765601136,Healty,24-01-29,C4,1,9
-7.282804684329689,-2.6938828969747433,0.5771290633843533,Healty,24-01-29,C6,1,0
-0.2893890162805284,0.5495431002662828,0.7779843466806583,Healty,24-01-29,C6,1,1
-0.7830767675280754,0.5577686116869884,0.6807396850961273,Healty,24-01-29,C6,1,5
-6.073996123265636,-1.176019874665483,0.029382939374692132,Healty,24-01-29,C6,1,6
-0.13484807203394047,0.3610020855286983,1.2060027341310815,Healty,24-01-29,C6,1,7
-7.682237043279055,-0.545161507782314,-0.6631294515343995,Healty,24-01-29,C6,1,8
-4.203650870187998,0.16060292661123005,-0.1936712965225729,Healty,24-01-29,C6,1,9
-1.587013614614485,0.30677121461297585,0.8699268281709289,Healty,24-01-29,D1,1,1
-1.2564411826511845,0.21243649759282415,0.6910526049858383,Healty,24-01-29,D1,1,2
0.5660173974409288,0.9063002980444969,0.6300370241869346,Healty,24-01-29,D1,1,3
-0.7564454404957307,0.6197184014009458,0.48309448211754424,Healty,24-01-29,D1,1,4
