Train_sizes,Score,Set
446,0.8811659192825112,Training
446,0.9243697478991597,Validation
446,0.9349775784753364,Training
446,0.8151260504201681,Validation
446,0.9103139013452914,Training
446,0.8403361344537815,Validation
446,0.9327354260089686,Training
446,0.5294117647058824,Validation
461,0.9088937093275488,Training
461,0.925,Validation
461,0.8872017353579176,Training
461,0.9159663865546218,Validation
461,0.93058568329718,Training
461,0.8151260504201681,Validation
461,0.913232104121475,Training
461,0.8571428571428571,Validation
461,0.9262472885032538,Training
461,0.5294117647058824,Validation
476,0.9012605042016807,Training
476,0.9,Validation
476,0.8823529411764706,Training
476,0.8991596638655462,Validation
476,0.9348739495798319,Training
476,0.8235294117647058,Validation
476,0.9138655462184874,Training
476,0.8571428571428571,Validation
476,0.930672268907563,Training
476,0.5798319327731093,Validation
