Run,Iteration,Wavelengths,Cofficients
370,1,450.903,0.07846210042078937
370,1,455.892,0.052843008886018616
370,1,456.39,0.11339779064115388
370,1,459.377,0.06765401980724493
370,1,462.36,0.14673860420208754
370,1,462.857,0.12329324948299279
370,1,463.85,0.09485554651050522
370,1,464.346,0.054993367665095313
370,1,465.339,-0.08930447622431056
370,1,465.835,0.0691389801330093
370,1,466.827,0.04442882083570066
370,1,470.79,0.03318641647095559
370,1,473.263,-0.0024449350902358558
370,1,473.758,-0.1334233047554043
370,1,475.24,-0.08833656416638665
370,1,475.734,-0.09947990511945001
370,1,476.721,-0.05869531454343592
370,1,478.202,-0.057222240770365265
370,1,479.188,-0.04838584163863314
370,1,482.144,-0.02846082655109292
370,1,483.621,-0.13496408063904153
370,1,487.063,-0.2355179836662245
370,1,488.045,0.06889709185885175
370,1,489.027,-0.2031672168034523
370,1,490.008,-0.096551178370724
370,1,490.499,-0.14074436185969813
370,1,490.989,-0.13239934378352203
370,1,491.48,-0.061770437993801074
370,1,491.97,-0.2072701264798863
370,1,492.95,-0.04544614912749656
370,1,494.419,-0.25232745442912236
370,1,496.377,0.2443415297061728
370,1,497.355,0.20402153605255696
370,1,498.333,0.2293316927136302
370,1,498.821,-0.29770136862073215
370,1,499.31,-0.524211093541924
370,1,500.287,-0.2825474536892043
370,1,500.775,0.41813547189484096
370,1,501.263,-0.16820447170629335
370,1,501.751,-0.4621630273298977
370,1,502.727,-0.38892330980975276
370,1,503.215,-0.35262301069209184
370,1,504.19,-0.7614602618379154
370,1,505.164,0.6937172136765242
370,1,505.651,-0.19016298318486405
370,1,506.139,-0.3004586654376622
370,1,506.625,0.6156732003547621
370,1,507.112,-0.2348209732453344
370,1,508.086,-0.11094639892731525
370,1,509.545,-0.422029070004119
370,1,510.517,-0.06716275198398255
370,1,511.003,-0.1390918661414845
370,1,511.489,0.006267041832271895
370,1,512.46,-0.15570926497821674
370,1,512.946,-0.05372464789700549
370,1,515.371,-0.031866023843061114
370,1,515.856,-0.02118439404228132
370,1,516.341,-0.09443879621627756
370,1,517.31,-0.09865225397095194
370,1,518.279,-0.006012984719765615
370,1,519.247,-0.019993247891113817
370,1,519.731,-0.006007893015127421
370,1,520.699,-0.031792026706770414
370,1,521.182,-0.04896948163991873
370,1,522.149,-0.07440203629177328
370,1,522.633,-0.05177458281010543
370,1,523.116,-0.01668257734142327
370,1,525.048,-0.047369393384662624
370,1,525.53,-0.03394493630129057
370,1,526.495,-0.04617771719214163
