PC1 - 84.90%,PC2 - 8.40%,Class,Date,Position,Acquisition,N
2.554266692346564,-0.29251178955485907,Healty,day_1,A2,1,1
4.458279116802553,-0.02940030675395135,Healty,day_1,A2,1,2
3.5472431827990825,0.14341822438613666,Healty,day_1,A2,1,4
2.052575087883275,-0.25875310786572525,Healty,day_1,A2,1,8
1.745040407568369,-0.28043830537959863,Healty,day_1,A6,1,1
2.441149735302343,-0.29693497745758374,Healty,day_1,A6,1,3
-0.5528770982635793,-0.38295219991737733,Healty,day_1,A6,1,4
1.3508979762096018,-0.03958319161235454,Healty,day_1,B1,1,10
2.3765473223752656,0.21360841551520032,Healty,day_1,B1,1,16
0.966502247970724,0.04425205952269301,Healty,day_1,B1,1,17
-7.145587107005552,-1.9578662671989078,Healty,day_1,B5,1,0
-6.308737457654139,-2.1724244912807826,Healty,day_1,B5,1,1
-7.334975064426027,0.15472302010655262,Healty,day_1,B5,1,4
-6.982042487098684,-2.952418925469311,Healty,day_1,C2,1,5
-3.8383551838070233,0.6383131915137207,Healty,day_1,C4,1,0
-5.956582883277693,-0.7605927052860864,Healty,day_1,C4,1,1
-6.440178297983083,-1.0887825334444325,Healty,day_1,C4,1,4
-4.078295152207482,-0.27083260651022223,Healty,day_1,C4,1,5
-6.2600901712326085,-0.6697950763193277,Healty,day_1,C4,1,7
-4.253483105362253,-0.2571503311894124,Healty,day_1,C4,1,8
-5.236772860646686,0.01703455940732338,Healty,day_1,C4,1,9
-7.413709418015448,-2.6018721676777794,Healty,day_1,C6,1,0
-0.37065014319738987,0.5072875873604082,Healty,day_1,C6,1,1
-7.761412970623442,-0.34563797115791717,Healty,day_1,C6,1,8
-4.279694442767548,0.2642706012440086,Healty,day_1,C6,1,9
-1.6747289007727895,0.27486992843348296,Healty,day_1,D1,1,1
-1.3426933394247351,0.19471816062635636,Healty,day_1,D1,1,2
-2.986234192921807,0.7278316628884877,Healty,day_1,D1,1,7
1.620779550387152,0.7865741060480687,Healty,day_1,D1,1,8
-3.9225467285547397,-0.41047929811539907,Healty,day_1,D3,1,1
-2.6898066579250877,0.20566761815182663,Healty,day_1,D3,1,7
1.3802357431223427,0.8895944727348876,Healty,day_1,D5,1,2
-0.38452197746950684,0.7497400881245886,Healty,day_1,D5,1,4
1.8223070562401897,0.9569522820244587,Healty,day_1,D5,1,6
-3.612639295113209,-0.825619188349308,Healty,day_1,D5,1,7
-3.44842291554372,0.610487896787921,Healty,day_1,E2,1,0
-4.429878358551276,-0.8659789097783328,Healty,day_1,E2,1,4
-3.919891331203583,-0.2501891027713553,Healty,day_1,E2,1,8
-3.2078763705951996,-0.4773228016008175,Healty,day_1,E4,1,0
-4.993365143353732,-1.1217769618724207,Healty,day_1,E4,1,2
-1.196100939822227,0.2557496966376897,Healty,day_1,E4,1,5
-0.3666325028260318,0.7903666789957388,Healty,day_1,E4,1,6
2.2284593205558703,0.26228087256477267,Healty,day_1,E4,1,7
-3.438724325852188,-0.6996637501733002,Healty,day_1,E6,1,3
-4.92441617955257,-0.8918881903828978,Healty,day_1,E6,1,6
-3.723631618760922,0.006505116591977981,Healty,day_1,E6,1,8
-3.1579038717630468,-0.7929087785846061,Healty,day_1,F1,1,1
-1.8587077108940486,0.3479498052250165,Healty,day_1,F1,1,2
-3.5418322966053375,0.20508587752909838,Healty,day_1,F5,1,2
-1.8631120190060244,0.46955718646492023,Healty,day_1,F5,1,3
1.7238709953433475,1.0622440214637794,Healty,day_1,F5,1,4
1.629672309253125,0.9345059984466327,Healty,day_1,G2,1,2
-1.3972616115194814,0.49074695866153306,Healty,day_1,G2,1,3
-5.987826066751592,-0.5249431492645361,Healty,day_1,G2,1,4
-2.2749772031253004,0.6664494389948931,Healty,day_1,G2,1,5
-4.333751053684976,-1.5486840293131863,Healty,day_1,H1,1,1
-3.6389183507869673,-0.16750091662118963,Healty,day_1,H1,1,3
-2.11998315577476,-0.5697961531486616,Healty,day_1,H1,1,6
-1.308667477513785,-0.031852019751147466,Healty,day_1,H1,1,7
-4.328975330800598,-0.06921437006424218,Healty,day_1,I2,1,0
-0.5795626377197699,0.8140787499244954,Healty,day_1,I2,1,1
-3.8143737406691365,-0.0885607479537133,Healty,day_1,I2,1,5
0.609457532359456,0.4023714612443813,Healty,day_1,I4,1,2
-2.9286413232537387,-0.21841917174030365,Healty,day_1,I4,1,3
-0.5611561094939709,-0.5582211676892211,Healty,day_1,I4,1,6
-3.210682572167803,-0.9891371322640857,Healty,day_1,L5,1,3
-3.0485665468071517,-0.9120990839144546,Healty,day_1,L5,1,4
0.9751883567488158,0.2689589644725909,Healty,24-01-30,A2,1,1
2.0301774458884863,0.27993498723234,Healty,24-01-30,A2,1,2
1.9289269334249122,0.40599380335740604,Healty,24-01-30,A2,1,3
1.4888060526122096,-0.11370927728674618,Healty,24-01-30,A2,1,4
1.3239619348418912,-0.14172887016268224,Healty,24-01-30,A2,1,5
0.41645143756649,0.08647747906597421,Healty,24-01-30,A2,1,6
0.5864655140214854,-0.05655986894086967,Healty,24-01-30,A2,1,8
-3.3077589897978434,-0.5836938172541073,Healty,24-01-30,A6,1,4
-4.596487122186281,-0.6367451103850594,Healty,24-01-30,A6,1,6
-2.097097403314523,-0.7343612894933506,Healty,24-01-30,A6,1,7
5.03984426353047,-0.11997896588206008,Healty,24-01-30,B1,1,0
4.4642536989437716,0.0872136412714606,Healty,24-01-30,B1,1,3
8.712158918988536,-1.5708119949796537,Healty,24-01-30,B1,1,4
6.946427575630444,-0.6263335919726232,Healty,24-01-30,B1,1,6
-6.05955552642675,-0.4941166749151043,Healty,24-01-30,B5,1,1
-3.3767078583876002,0.10788348161664772,Healty,24-01-30,B5,1,4
-4.363316849028177,0.25846226190685856,Healty,24-01-30,B5,1,5
1.1365446587671524,0.07914043640149361,Healty,24-01-30,C2,1,0
-0.07537750515926886,0.28527342029383296,Healty,24-01-30,C2,1,1
-0.9617111913243951,-0.21075231939837102,Healty,24-01-30,C2,1,2
0.13435566856274733,0.8353128752037636,Healty,24-01-30,C2,1,3
-0.23113017701815552,-0.4166046215128302,Healty,24-01-30,C2,1,8
-2.178716283408857,-0.44737591738398763,Healty,24-01-30,C2,1,10
1.1912248734895414,0.4122965785658482,Healty,24-01-30,C4,1,2
-4.442738351873337,-0.9370948616039148,Healty,24-01-30,C4,1,4
1.8225625226332764,0.9251049256293584,Healty,24-01-30,C6,1,7
-3.3211563223645553,-0.5123766676383619,Healty,24-01-30,C6,1,8
3.762785364916344,0.4816951736075986,Healty,24-01-30,D1,1,0
0.16154751396950193,0.44580722901328407,Healty,24-01-30,D1,1,3
2.606148400339997,1.0924900934469084,Healty,24-01-30,D3,1,0
-0.29037469503896857,1.0640276098243877,Healty,24-01-30,D3,1,1
2.86209461053365,0.354240966240138,Healty,24-01-30,D3,1,3
-2.0400332874184843,0.3892427498478339,Healty,24-01-30,D3,1,4
-1.765800209182634,0.6852168911402831,Healty,24-01-30,D3,1,5
1.2214794956685657,0.2132163537029131,Healty,24-01-30,D3,1,6
