Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
75,1,1.0,569,569 wavelengths,0.9594594594594594,4.0,True
75,2,0.937972055474286,400,400 wavelengths,0.9864864864864865,4.0,True
75,3,0.879791576850657,319,319 wavelengths,0.9864864864864865,4.0,True
75,4,0.825219913727574,285,285 wavelengths,0.9864864864864865,4.0,True
75,5,0.7740332186973654,260,260 wavelengths,0.9864864864864865,4.0,True
75,6,0.7260215291469454,229,229 wavelengths,0.9864864864864865,4.0,True
75,7,0.6809879060125446,212,212 wavelengths,0.9864864864864865,4.0,True
75,8,0.6387476259557163,198,198 wavelengths,0.9864864864864865,4.0,True
75,9,0.5991274236470037,186,186 wavelengths,0.9864864864864865,4.0,True
75,10,0.5619647810491933,171,171 wavelengths,0.972972972972973,4.0,True
75,11,0.5271072607848689,161,161 wavelengths,0.972972972972973,4.0,True
75,12,0.49441188085380394,147,147 wavelengths,0.9864864864864865,4.0,True
75,13,0.4637445281353502,138,138 wavelengths,0.972972972972973,4.0,True
75,14,0.4349794082700673,132,132 wavelengths,0.972972972972973,4.0,True
75,15,0.4079985296640637,126,126 wavelengths,0.972972972972973,4.0,True
75,16,0.38269121949948826,116,116 wavelengths,0.972972972972973,4.0,True
75,17,0.35895366976589616,110,110 wavelengths,0.972972972972973,4.0,True
75,18,0.33668851145035567,104,104 wavelengths,0.972972972972973,4.0,True
75,19,0.3158044151396677,97,97 wavelengths,0.972972972972973,4.0,True
75,20,0.2962157163964089,88,88 wavelengths,0.972972972972973,4.0,True
75,21,0.2778420643721278,85,85 wavelengths,0.972972972972973,4.0,True
75,22,0.2606080922163436,82,82 wavelengths,0.972972972972973,4.0,True
75,23,0.24444310792939605,77,77 wavelengths,0.972972972972973,4.0,True
75,24,0.22928080439105833,75,75 wavelengths,0.972972972972973,4.0,True
75,25,0.2150589873754787,69,69 wavelengths,0.972972972972973,4.0,True
75,26,0.20171932043679625,64,64 wavelengths,0.972972972972973,4.0,True
75,27,0.18920708561897795,59,59 wavelengths,0.972972972972973,4.0,True
75,28,0.17747095900833193,53,53 wavelengths,0.9864864864864865,4.0,True
75,29,0.1664628002080379,52,52 wavelengths,0.9864864864864865,4.0,True
75,30,0.15613745487113867,49,49 wavelengths,0.972972972972973,4.0,True
75,31,0.14645256948200552,43,43 wavelengths,0.972972972972973,4.0,True
75,32,0.13736841762652738,38,38 wavelengths,0.972972972972973,4.0,True
75,33,0.12884773703840405,36,36 wavelengths,0.972972972972973,4.0,True
75,34,0.12085557675312208,34,34 wavelengths,0.972972972972973,4.0,True
75,35,0.11335915374265627,34,34 wavelengths,0.972972972972973,4.0,True
75,36,0.10632771844282492,33,33 wavelengths,0.972972972972973,4.0,True
75,37,0.09973242862170764,31,31 wavelengths,0.972972972972973,4.0,True
75,38,0.09354623107174559,30,30 wavelengths,0.972972972972973,4.0,True
75,39,0.08774375064023773,29,29 wavelengths,0.972972972972973,4.0,True
75,40,0.082301186143047,26,26 wavelengths,0.9594594594594594,4.0,True
75,41,0.07719621273456559,24,24 wavelengths,0.972972972972973,4.0,True
75,42,0.07240789033347075,23,23 wavelengths,0.972972972972973,4.0,True
75,43,0.06791657772864225,22,22 wavelengths,0.972972972972973,4.0,True
