Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
66,1,1.0,579,579 wavelengths,0.9594594594594594,4.0,True
66,2,0.937972055474286,412,412 wavelengths,0.9594594594594594,4.0,True
66,3,0.879791576850657,337,337 wavelengths,0.972972972972973,4.0,True
66,4,0.825219913727574,280,280 wavelengths,0.9864864864864865,4.0,True
66,5,0.7740332186973654,249,249 wavelengths,0.9864864864864865,4.0,True
66,6,0.7260215291469454,221,221 wavelengths,0.9864864864864865,4.0,True
66,7,0.6809879060125446,201,201 wavelengths,0.9864864864864865,4.0,True
66,8,0.6387476259557163,183,183 wavelengths,0.9864864864864865,4.0,True
66,9,0.5991274236470037,172,172 wavelengths,0.9864864864864865,4.0,True
66,10,0.5619647810491933,160,160 wavelengths,0.972972972972973,4.0,True
66,11,0.5271072607848689,152,152 wavelengths,0.9864864864864865,4.0,True
66,12,0.49441188085380394,143,143 wavelengths,0.9864864864864865,4.0,True
66,13,0.4637445281353502,141,141 wavelengths,0.9864864864864865,4.0,True
66,14,0.4349794082700673,129,129 wavelengths,0.9864864864864865,4.0,True
66,15,0.4079985296640637,117,117 wavelengths,0.972972972972973,4.0,True
66,16,0.38269121949948826,112,112 wavelengths,0.972972972972973,4.0,True
66,17,0.35895366976589616,106,106 wavelengths,0.972972972972973,4.0,True
66,18,0.33668851145035567,102,102 wavelengths,0.972972972972973,4.0,True
66,19,0.3158044151396677,95,95 wavelengths,0.9864864864864865,4.0,True
66,20,0.2962157163964089,90,90 wavelengths,0.9864864864864865,4.0,True
66,21,0.2778420643721278,85,85 wavelengths,0.972972972972973,4.0,True
66,22,0.2606080922163436,79,79 wavelengths,0.972972972972973,4.0,True
66,23,0.24444310792939605,75,75 wavelengths,0.972972972972973,4.0,True
66,24,0.22928080439105833,69,69 wavelengths,0.9864864864864865,4.0,True
66,25,0.2150589873754787,66,66 wavelengths,0.972972972972973,4.0,True
66,26,0.20171932043679625,62,62 wavelengths,0.9864864864864865,4.0,True
66,27,0.18920708561897795,58,58 wavelengths,0.9864864864864865,4.0,True
66,28,0.17747095900833193,52,52 wavelengths,0.972972972972973,4.0,True
