Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
211,1,1.0,577,577 wavelengths,0.972972972972973,4.0,True
211,2,0.937972055474286,410,410 wavelengths,0.9864864864864865,4.0,True
211,3,0.879791576850657,333,333 wavelengths,0.9864864864864865,4.0,True
211,4,0.825219913727574,292,292 wavelengths,0.9864864864864865,4.0,True
211,5,0.7740332186973654,256,256 wavelengths,0.9864864864864865,4.0,True
211,6,0.7260215291469454,229,229 wavelengths,0.9864864864864865,4.0,True
211,7,0.6809879060125446,207,207 wavelengths,1.0,4.0,True
211,8,0.6387476259557163,188,188 wavelengths,1.0,4.0,True
211,9,0.5991274236470037,177,177 wavelengths,1.0,4.0,True
211,10,0.5619647810491933,170,170 wavelengths,1.0,4.0,True
211,11,0.5271072607848689,160,160 wavelengths,1.0,4.0,True
211,12,0.49441188085380394,147,147 wavelengths,1.0,4.0,True
211,13,0.4637445281353502,134,134 wavelengths,0.9864864864864865,4.0,True
211,14,0.4349794082700673,125,125 wavelengths,0.9864864864864865,4.0,True
211,15,0.4079985296640637,119,119 wavelengths,0.972972972972973,4.0,True
211,16,0.38269121949948826,112,112 wavelengths,0.972972972972973,4.0,True
211,17,0.35895366976589616,102,102 wavelengths,0.972972972972973,4.0,True
211,18,0.33668851145035567,95,95 wavelengths,0.972972972972973,4.0,True
211,19,0.3158044151396677,91,91 wavelengths,0.972972972972973,4.0,True
211,20,0.2962157163964089,90,90 wavelengths,0.972972972972973,4.0,True
211,21,0.2778420643721278,86,86 wavelengths,0.9864864864864865,4.0,True
211,22,0.2606080922163436,82,82 wavelengths,0.9864864864864865,4.0,True
211,23,0.24444310792939605,78,78 wavelengths,0.972972972972973,4.0,True
211,24,0.22928080439105833,71,71 wavelengths,0.972972972972973,4.0,True
211,25,0.2150589873754787,70,70 wavelengths,0.972972972972973,4.0,True
211,26,0.20171932043679625,64,64 wavelengths,0.972972972972973,4.0,True
211,27,0.18920708561897795,60,60 wavelengths,0.972972972972973,4.0,True
211,28,0.17747095900833193,56,56 wavelengths,0.972972972972973,4.0,True
211,29,0.1664628002080379,53,53 wavelengths,0.972972972972973,4.0,True
211,30,0.15613745487113867,48,48 wavelengths,0.972972972972973,4.0,True
211,31,0.14645256948200552,47,47 wavelengths,0.972972972972973,4.0,True
211,32,0.13736841762652738,44,44 wavelengths,0.972972972972973,4.0,True
211,33,0.12884773703840405,39,39 wavelengths,0.972972972972973,4.0,True
211,34,0.12085557675312208,39,39 wavelengths,0.972972972972973,4.0,True
211,35,0.11335915374265627,38,38 wavelengths,0.972972972972973,4.0,True
211,36,0.10632771844282492,33,33 wavelengths,0.9459459459459459,4.0,True
211,37,0.09973242862170764,31,31 wavelengths,0.972972972972973,4.0,True
211,38,0.09354623107174559,28,28 wavelengths,0.9594594594594594,4.0,True
211,39,0.08774375064023773,28,28 wavelengths,0.9594594594594594,4.0,True
211,40,0.082301186143047,27,27 wavelengths,0.9594594594594594,4.0,True
211,41,0.07719621273456559,25,25 wavelengths,0.9594594594594594,4.0,True
211,42,0.07240789033347075,23,23 wavelengths,0.9459459459459459,4.0,True
211,43,0.06791657772864225,22,22 wavelengths,0.9594594594594594,4.0,True
211,44,0.06370385201291369,21,21 wavelengths,0.9594594594594594,4.0,True
211,45,0.059752433014182364,21,21 wavelengths,0.9594594594594594,4.0,True
211,46,0.05604611241390222,19,19 wavelengths,0.972972972972973,4.0,True
211,47,0.05256968726221077,18,18 wavelengths,0.972972972972973,4.0,True
211,48,0.04930889761697621,17,17 wavelengths,0.972972972972973,4.0,True
211,49,0.0462503680509663,16,16 wavelengths,0.9594594594594594,4.0,True
211,50,0.043381552787207116,16,16 wavelengths,0.9594594594594594,4.0,True
211,51,0.0406906842374829,13,13 wavelengths,0.9594594594594594,4.0,True
211,52,0.03816672473288696,12,12 wavelengths,0.9594594594594594,4.0,True
211,53,0.03579932124842725,11,11 wavelengths,0.9459459459459459,4.0,True
211,54,0.03357876293597159,11,11 wavelengths,0.9459459459459459,4.0,True
211,55,0.031495941291337044,10,499.31 - 503.702 - 506.625 - 688.41 - 737.734 - 752.464 - 752.896 - 763.223 - 945.428 - 946.982,0.9324324324324325,4.0,True
211,56,0.029542312792132836,10,499.31 - 503.702 - 506.625 - 688.41 - 737.734 - 752.464 - 752.896 - 763.223 - 945.428 - 946.982,0.9324324324324325,4.0,True
211,57,0.027709863853101133,9,499.31 - 503.702 - 506.625 - 688.41 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,58,0.025991077955205888,9,499.31 - 503.702 - 506.625 - 688.41 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,59,0.024378904813636863,9,499.31 - 503.702 - 506.625 - 688.41 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,60,0.022866731458258936,7,499.31 - 506.625 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,61,0.02144835510788165,7,499.31 - 506.625 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,62,0.020117957727082157,7,499.31 - 506.625 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,63,0.018870082161216047,7,499.31 - 506.625 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.918918918918919,4.0,True
211,64,0.017699609751724465,6,499.31 - 737.734 - 752.464 - 763.223 - 945.428 - 946.982,0.9324324324324325,4.0,True
