Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
260,1,1.0,578,578 wavelengths,0.87248322147651,3.0,True
260,2,0.937972055474286,398,398 wavelengths,0.8657718120805369,3.0,True
260,3,0.879791576850657,330,330 wavelengths,0.8791946308724832,3.0,True
260,4,0.825219913727574,280,280 wavelengths,0.8791946308724832,3.0,True
260,5,0.7740332186973654,247,247 wavelengths,0.9463087248322147,3.0,True
260,6,0.7260215291469454,216,216 wavelengths,0.8859060402684564,3.0,True
260,7,0.6809879060125446,197,197 wavelengths,0.8859060402684564,3.0,True
260,8,0.6387476259557163,184,184 wavelengths,0.8859060402684564,3.0,True
260,9,0.5991274236470037,176,176 wavelengths,0.9395973154362416,3.0,True
260,10,0.5619647810491933,161,161 wavelengths,0.9328859060402684,3.0,True
260,11,0.5271072607848689,155,155 wavelengths,0.9328859060402684,3.0,True
260,12,0.49441188085380394,137,137 wavelengths,0.9395973154362416,3.0,True
260,13,0.4637445281353502,132,132 wavelengths,0.9463087248322147,3.0,True
260,14,0.4349794082700673,128,128 wavelengths,0.8926174496644296,3.0,True
260,15,0.4079985296640637,123,123 wavelengths,0.8926174496644296,3.0,True
260,16,0.38269121949948826,110,110 wavelengths,0.8993288590604027,3.0,True
260,17,0.35895366976589616,105,105 wavelengths,0.8993288590604027,3.0,True
260,18,0.33668851145035567,97,97 wavelengths,0.8993288590604027,3.0,True
260,19,0.3158044151396677,90,90 wavelengths,0.8926174496644296,3.0,True
260,20,0.2962157163964089,86,86 wavelengths,0.9463087248322147,3.0,True
260,21,0.2778420643721278,83,83 wavelengths,0.9530201342281879,3.0,True
260,22,0.2606080922163436,79,79 wavelengths,0.8926174496644296,3.0,True
260,23,0.24444310792939605,74,74 wavelengths,0.8926174496644296,3.0,True
260,24,0.22928080439105833,69,69 wavelengths,0.8993288590604027,3.0,True
260,25,0.2150589873754787,64,64 wavelengths,0.9060402684563759,3.0,True
260,26,0.20171932043679625,58,58 wavelengths,0.959731543624161,3.0,True
260,27,0.18920708561897795,58,58 wavelengths,0.959731543624161,3.0,True
260,28,0.17747095900833193,50,50 wavelengths,0.912751677852349,3.0,True
260,29,0.1664628002080379,49,49 wavelengths,0.9328859060402684,3.0,True
260,30,0.15613745487113867,45,45 wavelengths,0.9194630872483222,3.0,True
260,31,0.14645256948200552,45,45 wavelengths,0.9194630872483222,3.0,True
260,32,0.13736841762652738,40,40 wavelengths,0.9463087248322147,3.0,True
260,33,0.12884773703840405,39,39 wavelengths,0.9395973154362416,3.0,True
260,34,0.12085557675312208,38,38 wavelengths,0.9463087248322147,3.0,True
260,35,0.11335915374265627,35,35 wavelengths,0.9463087248322147,3.0,True
260,36,0.10632771844282492,33,33 wavelengths,0.8993288590604027,3.0,True
260,37,0.09973242862170764,31,31 wavelengths,0.9328859060402684,3.0,True
260,38,0.09354623107174559,30,30 wavelengths,0.9328859060402684,3.0,True
260,39,0.08774375064023773,25,25 wavelengths,0.9261744966442953,3.0,True
260,40,0.082301186143047,25,25 wavelengths,0.9261744966442953,3.0,True
260,41,0.07719621273456559,24,24 wavelengths,0.9328859060402684,3.0,True
260,42,0.07240789033347075,21,21 wavelengths,0.9194630872483222,3.0,True
260,43,0.06791657772864225,21,21 wavelengths,0.9194630872483222,3.0,True
260,44,0.06370385201291369,20,20 wavelengths,0.912751677852349,3.0,True
260,45,0.059752433014182364,19,19 wavelengths,0.912751677852349,3.0,True
260,46,0.05604611241390222,17,17 wavelengths,0.9194630872483222,3.0,True
260,47,0.05256968726221077,15,15 wavelengths,0.9194630872483222,3.0,True
260,48,0.04930889761697621,15,15 wavelengths,0.9194630872483222,3.0,True
260,49,0.0462503680509663,14,14 wavelengths,0.912751677852349,3.0,True
260,50,0.043381552787207116,14,14 wavelengths,0.912751677852349,3.0,True
260,51,0.0406906842374829,14,14 wavelengths,0.912751677852349,3.0,True
260,52,0.03816672473288696,13,13 wavelengths,0.912751677852349,3.0,True
260,53,0.03579932124842725,13,13 wavelengths,0.912751677852349,3.0,True
260,54,0.03357876293597159,12,12 wavelengths,0.9060402684563759,3.0,True
260,55,0.031495941291337044,12,12 wavelengths,0.9060402684563759,3.0,True
260,56,0.029542312792132836,11,11 wavelengths,0.8859060402684564,3.0,True
260,57,0.027709863853101133,11,11 wavelengths,0.8859060402684564,3.0,True
260,58,0.025991077955205888,11,11 wavelengths,0.8859060402684564,3.0,True
