Run,Iteration,Wavelengths,Cofficients
360,1,450.903,0.04568074047332848
360,1,451.403,0.03471931332089539
360,1,451.902,0.03542665549990742
360,1,454.895,-0.01054008387000822
360,1,458.382,0.04005999793554478
360,1,460.372,-0.0010270605626699388
360,1,460.869,0.008124279953709805
360,1,462.36,0.05893559022690889
360,1,463.85,0.035878593898585324
360,1,465.339,-0.03036012872023481
360,1,466.331,0.054134030209154804
360,1,468.314,0.03126957810439451
360,1,469.8,-0.020723447749117375
360,1,472.769,-0.022527895738809485
360,1,473.758,-0.05075449713134396
360,1,475.24,-0.01825622997228658
360,1,475.734,-0.043111922926157634
360,1,476.721,-0.012209548633994028
360,1,477.215,-0.04714588570106389
360,1,479.681,0.004792444047541729
360,1,480.174,-0.019108003560586197
360,1,480.667,-0.01605382033442887
360,1,481.652,0.008053715068764873
360,1,482.144,-0.010191302686011672
360,1,483.129,-0.02922245882050793
360,1,483.621,-0.061231557784206206
360,1,484.113,0.01165555442771834
360,1,484.605,0.004453352551788716
360,1,487.063,-0.0972522138778861
360,1,489.027,-0.09065255288709677
360,1,490.008,-0.06690589386940587
360,1,490.499,-0.07076528104646408
360,1,491.48,-0.05968028308666572
360,1,491.97,-0.12690912601506937
360,1,492.46,-0.0031806782476813855
360,1,492.95,-0.04685713389890817
360,1,493.93,-0.013533693378383156
360,1,495.398,-0.04653899402080518
360,1,496.377,0.055019833299813435
360,1,496.866,-0.03952276912116764
360,1,497.844,-0.11256123380177326
360,1,498.821,-0.2159611828785581
360,1,499.31,-0.34394168574586825
360,1,499.798,-0.0783270021238939
360,1,500.287,-0.2671488455267315
360,1,500.775,0.10881140312985639
360,1,501.263,-0.2025091128583083
360,1,501.751,-0.2656321426177978
360,1,502.239,-0.10862781972434236
360,1,502.727,-0.31469040062071263
360,1,503.215,-0.24773673693557496
360,1,503.702,-0.06433281346410964
360,1,504.19,-0.5874336806578511
360,1,504.677,-0.01646982830273339
360,1,505.164,0.23022886531489356
360,1,505.651,-0.13907759304561956
360,1,506.139,-0.2523778645888394
360,1,506.625,-0.008505269154875325
360,1,507.112,-0.12608178352214805
360,1,507.599,-0.034596413909934946
360,1,508.086,-0.14339969633176056
360,1,508.572,0.07341329877230504
360,1,509.058,-0.023946431017935907
360,1,509.545,-0.21307702852441154
360,1,510.517,-0.03651397929719586
360,1,511.003,-0.10890104167081704
360,1,511.489,-0.03149452120675564
360,1,512.46,-0.10026053377598036
360,1,512.946,-0.06290960159159192
360,1,514.401,-0.03743998669983548
360,1,515.856,-0.016119956767439318
360,1,516.826,-0.02608785455376622
360,1,517.795,-0.033747607586550335
360,1,518.279,-0.033902984112166266
360,1,520.215,0.012042143752584576
360,1,521.182,-0.026299076564830135
360,1,524.082,-0.025533428186851156
360,1,524.565,-0.019339667125045774
360,1,526.013,-0.02068178024985126
360,1,526.495,-0.02173466676737115
360,1,527.46,-0.017395997279893168
360,1,528.424,-0.010586979677278317
360,1,530.833,-0.021490439907454244
360,1,531.795,-0.04348260844264148
360,1,532.277,-0.0010141657090440496
360,1,532.758,-0.014455898971825098
360,1,533.238,-0.0367195925566178
360,1,535.161,-0.02841933253601756
360,1,537.562,-0.011903060212865461
360,1,539.001,-0.015389461701033436
360,1,539.481,-0.012930801041603093
360,1,539.96,-0.025694292307118664
360,1,540.919,-0.01960138674507325
360,1,541.877,-0.017260764272838593
360,1,543.792,-0.011393434101339401
360,1,544.749,-0.019909370782747945
360,1,545.705,-0.007166619917062497
360,1,547.616,-0.02691094206401238
360,1,549.526,-0.030420823635315092
360,1,556.197,-0.014962270880978115
360,1,559.999,0.0021398445279928653
360,1,563.32,-0.0186488384724542
360,1,563.794,-0.00834475745591561
360,1,569.002,-0.01307015748219206
360,1,570.892,-0.00859917451737096
360,1,583.139,-0.009774685825192324
360,1,588.299,-0.015227779855345085
360,1,594.38,-0.022320274617170163
360,1,598.58,-0.02733895147100199
360,1,599.978,-0.015113275698256053
360,1,605.096,-0.007387567806500511
360,1,612.981,0.030530325373355524
360,1,613.907,0.006667681647107368
360,1,614.369,0.017519556516996635
360,1,616.219,0.03472159732765187
360,1,617.605,0.035906917627447445
360,1,619.913,0.018621024246755477
360,1,620.375,0.03339118724015884
360,1,620.836,0.04967599590514844
360,1,621.758,0.049540790078260635
360,1,622.219,0.03221439796165059
360,1,623.601,0.04261599160904065
360,1,624.522,0.04163979441067881
360,1,624.982,0.0636606752807193
360,1,625.902,0.07434488691355755
360,1,626.362,0.05172921989303526
360,1,626.822,0.03417693040675371
360,1,627.742,0.06017618155350842
360,1,628.201,0.06120801492615401
360,1,628.661,0.06174522099869811
360,1,629.12,0.0790700118920106
360,1,629.579,0.03563084618165609
360,1,630.038,0.07364693327401461
360,1,630.497,0.0682039157569655
360,1,631.874,0.04718300611597478
360,1,632.332,0.04352724516375562
360,1,632.791,0.03927102458166577
360,1,633.708,0.06532610956149319
360,1,634.166,0.032953600838782536
360,1,635.082,0.04798857124282367
360,1,635.54,0.061341465507691165
360,1,635.998,0.0060585401239485895
360,1,636.455,0.036874243515988
360,1,636.913,0.02431591331146334
360,1,639.199,0.01327980141121334
