Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
391,1,1.0,561,561 wavelengths,0.7583892617449665,2.0,True
391,2,0.937972055474286,409,409 wavelengths,0.7583892617449665,2.0,True
391,3,0.879791576850657,344,344 wavelengths,0.7583892617449665,2.0,True
391,4,0.825219913727574,288,288 wavelengths,0.7718120805369127,2.0,True
391,5,0.7740332186973654,244,244 wavelengths,0.785234899328859,2.0,True
391,6,0.7260215291469454,211,211 wavelengths,0.785234899328859,2.0,True
391,7,0.6809879060125446,193,193 wavelengths,0.785234899328859,2.0,True
391,8,0.6387476259557163,179,179 wavelengths,0.785234899328859,2.0,True
391,9,0.5991274236470037,172,172 wavelengths,0.7919463087248322,2.0,True
391,10,0.5619647810491933,163,163 wavelengths,0.7919463087248322,2.0,True
391,11,0.5271072607848689,153,153 wavelengths,0.7986577181208053,2.0,True
391,12,0.49441188085380394,137,137 wavelengths,0.7986577181208053,2.0,True
391,13,0.4637445281353502,129,129 wavelengths,0.8187919463087249,2.0,True
391,14,0.4349794082700673,122,122 wavelengths,0.8187919463087249,2.0,True
391,15,0.4079985296640637,115,115 wavelengths,0.825503355704698,2.0,True
391,16,0.38269121949948826,112,112 wavelengths,0.8187919463087249,2.0,True
391,17,0.35895366976589616,108,108 wavelengths,0.8187919463087249,2.0,True
391,18,0.33668851145035567,105,105 wavelengths,0.8187919463087249,2.0,True
391,19,0.3158044151396677,96,96 wavelengths,0.8187919463087249,2.0,True
391,20,0.2962157163964089,89,89 wavelengths,0.8187919463087249,2.0,True
391,21,0.2778420643721278,86,86 wavelengths,0.8187919463087249,2.0,True
391,22,0.2606080922163436,82,82 wavelengths,0.8187919463087249,2.0,True
391,23,0.24444310792939605,78,78 wavelengths,0.825503355704698,2.0,True
391,24,0.22928080439105833,72,72 wavelengths,0.8187919463087249,2.0,True
391,25,0.2150589873754787,68,68 wavelengths,0.8187919463087249,2.0,True
391,26,0.20171932043679625,61,61 wavelengths,0.825503355704698,2.0,True
391,27,0.18920708561897795,59,59 wavelengths,0.825503355704698,2.0,True
391,28,0.17747095900833193,55,55 wavelengths,0.825503355704698,2.0,True
391,29,0.1664628002080379,53,53 wavelengths,0.8322147651006712,2.0,True
391,30,0.15613745487113867,51,51 wavelengths,0.8389261744966443,2.0,True
391,31,0.14645256948200552,49,49 wavelengths,0.8322147651006712,2.0,True
391,32,0.13736841762652738,46,46 wavelengths,0.8322147651006712,2.0,True
391,33,0.12884773703840405,44,44 wavelengths,0.825503355704698,2.0,True
391,34,0.12085557675312208,43,43 wavelengths,0.8322147651006712,2.0,True
391,35,0.11335915374265627,39,39 wavelengths,0.8322147651006712,2.0,True
391,36,0.10632771844282492,33,33 wavelengths,0.8389261744966443,2.0,True
391,37,0.09973242862170764,32,32 wavelengths,0.8389261744966443,2.0,True
391,38,0.09354623107174559,29,29 wavelengths,0.8322147651006712,2.0,True
391,39,0.08774375064023773,28,28 wavelengths,0.825503355704698,2.0,True
391,40,0.082301186143047,24,24 wavelengths,0.8322147651006712,2.0,True
391,41,0.07719621273456559,22,22 wavelengths,0.8322147651006712,2.0,True
391,42,0.07240789033347075,21,21 wavelengths,0.8187919463087249,2.0,True
391,43,0.06791657772864225,19,19 wavelengths,0.825503355704698,2.0,True
391,44,0.06370385201291369,19,19 wavelengths,0.825503355704698,2.0,True
391,45,0.059752433014182364,19,19 wavelengths,0.825503355704698,2.0,True
391,46,0.05604611241390222,19,19 wavelengths,0.825503355704698,2.0,True
391,47,0.05256968726221077,18,18 wavelengths,0.8187919463087249,2.0,True
391,48,0.04930889761697621,18,18 wavelengths,0.8187919463087249,2.0,True
391,49,0.0462503680509663,16,16 wavelengths,0.8187919463087249,2.0,True
